"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "panelprogram" "parkolas" "legkondicionalo" "rezsikoltseg" "parkolohely_ara"
"1" "25.9" "36" "1" " 4. kerület, Kordován tér " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "6" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nem" "nincs megadva" "délnyugat" "panorámás" "4 m²" "nem" "nem tetotéri" "nincs megadva" "utca, közterület" NA NA NA
"2" "490" "149" "4" " 12. kerület, Svábhegy " "nincs megadva" "2020" "nincs megadva" "nincs megadva" "3" "3" "van" "3 m-nél alacsonyabb" "mennyezeti hutés-futés, falfutés" "nincs megadva" "külön és egyben is" "kelet" "panorámás" "79 m²" "nincs megadva" "nincs megadva" NA "teremgarázs hely - benne van az árban" "van" "20 000 Ft/hó" NA
"3" "23.9" "53" "2" " 18. kerület, Csontváry Kosztka Tivadar utca " "felújított" NA "összkomfortos" "nincs megadva" "6" "10" "van" "nincs megadva" "távfutés egyedi méréssel" "nincs megadva" "külön helyiségben" "nincs megadva" "kertre nézo" "3 m²" "nincs megadva" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA NA NA
"4" "25.9" "45" "1" " 6. kerület, Rózsa utca " "közepes állapotú" NA "összkomfortos" "nincs megadva" "földszint" "5" "van" "3 m vagy magasabb" "gáz (cirko)" "igen" "egy helyiségben" "dél" "utcai" NA "nincs megadva" "nincs megadva" NA "utca, közterület - fizetos övezet" NA NA NA
"5" "56.99" "98" "3" " 4. kerület, József Attila utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "1" "3" "nincs" "3 m vagy magasabb" "nincs megadva" "nem" "külön helyiségben" "délkelet" "utcai" NA "nem" "nem tetotéri" NA "utca, közterület - ingyenes" "nincs" "30 000 Ft/hó" NA
"6" "48.9" "68" "3" " 14. kerület, Kiszugló " "közepes állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "földszint" "4" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nem" "külön helyiségben" "délnyugat" "kertre nézo" NA "nem" NA NA "utca, közterület - ingyenes" "nincs" NA NA
"7" "37.9" "54" "2" " 10. kerület, Gergely utca " "felújított" "2001-2010 között" "nincs megadva" "nincs megadva" "félemelet" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "nincs megadva" "délkelet" "nincs megadva" "7 m²" "nincs megadva" "nem tetotéri" NA "teremgarázs hely - megvásárolható" NA NA "2 M Ft"
"8" "91.7" "90" "3" " 6. kerület, Külso-Terézváros – Diplomatanegyed " "jó állapotú" NA "összkomfortos" "nincs megadva" "1" "4" "nincs megadva" "nincs megadva" "távfutés" "nincs megadva" "külön és egyben is" "nincs megadva" "nincs megadva" "10 m²" "nincs megadva" "nincs megadva" NA "nincs megadva" NA NA NA
"9" "229" "128" "3" " 13. kerület, Népfürdo utca 7. " "újszeru" "2001-2010 között" "luxus" "nincs megadva" "7" "7" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "külön és egyben is" "nincs megadva" "panorámás" "70 m²" "nincs megadva" "penthouse" NA "teremgarázs hely - benne van az árban" "van" "75 000 Ft/hó" NA
"10" "47.99" "45" "1" " 9. kerület, Ráday utca " "felújított" "2019" "összkomfortos" "nincs megadva" "földszint" "6" "van" "3 m vagy magasabb" "elektromos" "nem" "egy helyiségben" "délkelet" "udvari" NA "nem" "nem tetotéri" NA "utca, közterület - fizetos övezet" NA NA NA
