"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "panelprogram" "rezsikoltseg"
"1" "82.9" "87" "4" " 13. kerület, Angyalföld – Loportárdulo " "nincs megadva" "2019" "duplakomfortos" "AA++" "4" "7" "van" "3 m-nél alacsonyabb" "egyéb" "van" "nincs megadva" "egy helyiségben" "északkelet" "udvari" "13 m²" "nem" "nincs megadva" "nincs megadva" NA NA
"2" "60.2" "36" "2" " 6. kerület, Szív utca " "újszeru" "2019" "nincs megadva" "nincs megadva" "1" "6" "nincs megadva" "nincs megadva" "házközponti egyedi méréssel" NA "nincs megadva" "egy helyiségben" "dél" "nincs megadva" "12 m²" "igen" "nincs megadva" "nincs megadva" NA NA
"3" "31.55" "51" "2" " 3. kerület, Jendrassik György utca " "jó állapotú" "1981-2000 között" "komfortos" "nincs megadva" "nincs megadva" "10" "van" "nincs megadva" "távfutés egyedi méréssel" NA "nincs megadva" "nincs megadva" "nincs megadva" "utcai" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA
"4" "129.9" "98" "4" " 3. kerület, Pünkösdfürdo utca 48. " "újszeru" "2001-2010 között" "duplakomfortos" "nincs megadva" "9" "9" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "van" "igen" "külön és egyben is" "délnyugat" "panorámás" "150 m²" "nem" "legfelso emelet, nem tetotéri" "utca, közterület - ingyenes" NA "36 000 Ft/hó"
"5" "56" "90" "4" " 10. kerület, Gergely utca " "jó állapotú" "2001-2010 között" "összkomfortos" "nincs megadva" "2" "3" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" NA "nem" "külön helyiségben" "északkelet" "panorámás" NA "nem" "tetotéri" "teremgarázs hely - benne van az árban" NA NA
"6" "29.98" "68" "2" " 17. kerület, Pesti út " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "4" "10" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs" "igen" "külön helyiségben" "nyugat" "utcai" "8 m²" "nem" NA "utca, közterület - ingyenes" NA NA
"7" "84.9" "73" "3" " 5. kerület, Balaton utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "3" "5" "van" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "külön és egyben is" "kelet" "utcai" "2 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA
"8" "55" "50" "2" " 6. kerület, Szív utca " "újszeru" "2013" "nincs megadva" "nincs megadva" "2" "nincs megadva" "van" "3 m-nél alacsonyabb" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "északkelet" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA
"9" "15.6" "32" "1" " 20. kerület, Hosszú utca " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "földszint" "földszintes" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" NA "nincs megadva" "egy helyiségben" "nincs megadva" "utcai" NA "igen" "nem tetotéri" "utca, közterület" NA "20 000 Ft/hó"
"10" "29.6" "44" "1" " 13. kerület, Gyöngyösi utca " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" NA "10 000 Ft/hó"
"11" "49.9" "88" "3" " 13. kerület, Gogol utca 36. " "jó állapotú" NA "nincs megadva" "nincs megadva" "4" "4" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "van" "nincs megadva" "külön helyiségben" "nyugat" "nincs megadva" NA "nincs megadva" "tetotéri" "utca, közterület" NA NA
"12" "29.5" "53" "2" " 7. kerület, Damjanich utca " "felújítandó" NA "összkomfortos" "nincs megadva" "földszint" "4" "van" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs" "nincs megadva" "külön helyiségben" "nyugat" "utcai" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA
"13" "31.5" "41" "1" " 7. kerület, Külso-Erzsébetváros " "jó állapotú" NA "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "nincs megadva" NA "nincs megadva" "nincs megadva" "délnyugat" "udvari" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA
"14" "66.89" "92" "2" " 6. kerület, Munkácsy Mihály utca " "közepes állapotú" "1950 elott" "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs" "3 m vagy magasabb" "nincs megadva" NA "nincs megadva" "nincs megadva" "északnyugat" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA
"15" "46" "55" "2" " 9. kerület, Ráday utca 14. " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "földszint" "5" "van" "3 m vagy magasabb" "gáz (konvektor)" "nincs" "nem" "külön helyiségben" "nincs megadva" "udvari" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA "30 000 Ft/hó"
"16" "130" "135" "3" " 5. kerület, Lipótváros " "újszeru" "1950 elott" "duplakomfortos" "nincs megadva" "3" "4" "van" "3 m vagy magasabb" "gáz (cirko)" "van" "nincs megadva" "külön és egyben is" "dél" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" NA "18 000 Ft/hó"
"17" "18" "35" "1" " 10. kerület, Halom utca " "felújítandó" NA "komfortos" "nincs megadva" "földszint" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "igen" "nincs megadva" "nincs megadva" NA "5 000 Ft/hó"
"18" "189" "190" "4" " 3. kerület, Testvérhegy " "újszeru" "2012" "luxus" "nincs megadva" "nincs megadva" "3" "van" "nincs megadva" "gáz (cirko), padlófutés" "van" "nincs megadva" "nincs megadva" "nyugat" "utcai" "90 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA "66 000 Ft/hó"
"19" "199" "230" "3.5" " 12. kerület, Svábhegy " "jó állapotú" "2001-2010 között" "összkomfortos" "nincs megadva" "2" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" "van" "nem" "külön és egyben is" "délkelet" "panorámás" "67 m²" "igen" "zárószint" "teremgarázs hely - benne van az árban" NA NA
"20" "63.9" "64" "4" " 6. kerület, Bajcsy-Zsilinszky út " "jó állapotú" "1950 elott" "duplakomfortos" "nincs megadva" "3" "6" "van" "3 m vagy magasabb" "házközponti" "van" "nem" "külön helyiségben" "nyugat" "utcai" NA "nem" "nem tetotéri" "utca, közterület" NA "42 000 Ft/hó"
