"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "panelprogram" "rezsikoltseg" "parkolohely_ara"
"1" "37.9" "64" "2" " 8. kerület, Százados út 32. " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "6" "6" "van" "3 m-nél alacsonyabb" "házközponti" "van" "nem" "külön helyiségben" "dél" "panorámás" "2 m²" "nem" "zárószint" "utca, közterület - ingyenes" NA NA NA
"2" "28.9" "54" "2" " 10. kerület, Hang utca " "jó állapotú" NA "összkomfortos" "nincs megadva" "6" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nincs" "nem" "külön helyiségben" "nincs megadva" "panorámás" "3 m²" "nem" "nem tetotéri" "nincs megadva" "nincs megadva" NA NA
"3" "40" "60" "2" " 6. kerület, Oktogon " "felújított" NA "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs megadva" "nincs megadva" "mennyezeti hutés-futés, gáz (konvektor)" "van" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"4" "39.9" "58" "2" " 6. kerület, Szondi utca " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "földszint" "2" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor), mennyezeti hutés-futés" "van" "nincs megadva" "egy helyiségben" "délnyugat" "udvari" NA "nincs megadva" "nincs megadva" "nincs megadva" NA "17 000 Ft/hó" NA
"5" "59.9" "90" "3" " 12. kerület, Kiss János altábornagy utca " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "félemelet" "4" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "külön helyiségben" "északnyugat" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"6" "34.9" "74" "3" " 8. kerület, Homok utca 8-10 " "felújítandó" "1950-1980 között" "összkomfortos" "nincs megadva" "földszint" "3" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" NA "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"7" "61.9" "86" "3" " 14. kerület, Róna utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "1" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "gáz (cirko), padlófutés" NA "nincs megadva" "külön helyiségben" "északnyugat" "kertre nézo" "16 m²" "nem" "nem tetotéri" "udvari beálló - benne van az árban" NA NA NA
"8" "49" "42" "1" " 6. kerület, Hajós utca " "újszeru" "2018" "luxus" "nincs megadva" "földszint" "3" "nincs megadva" "3 m-nél alacsonyabb" "elektromos" "van" "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "50 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"9" "75.9" "96" "3" " 9. kerület, Kálvin tér " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "1" "5" "van" "3 m vagy magasabb" "gáz (cirko)" "van" "nem" "külön és egyben is" "dél" "utcai" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA "40 000 Ft/hó" NA
"10" "43.6" "69" "2" " 8. kerület, Dugonics utca " "felújított" "2001-2010 között" "összkomfortos" "nincs megadva" "4" "5" "van" "3 m-nél alacsonyabb" "gáz (cirko)" "van" "nincs megadva" "külön és egyben is" "nincs megadva" "nincs megadva" NA "nem" "nincs megadva" "teremgarázs hely - megvásárolható" NA NA "3 M Ft"
