"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "legkondicionalo" "panelprogram" "rezsikoltseg" "parkolohely_ara"
"1" "58.9" "93" "2" " 14. kerület, Ilka utca " "felújított" "1950-1980 között" "nincs megadva" "nincs megadva" "3" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "délkelet" "utcai" "11 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"2" "46.9" "61" "2" " 11. kerület, Baranyai utca " "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "5" "8" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "külön helyiségben" "nyugat" "panorámás" "4 m²" "nincs megadva" "nem tetotéri" "utca, közterület" "nincs" NA NA NA
"3" "24.9" "38" "1" " 16. kerület, Olga utca " "felújított" "1981-2000 között" "nincs megadva" "nincs megadva" "földszint" "4" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs megadva" "külön helyiségben" "kelet" "utcai" NA "nem" "nincs megadva" "utca, közterület - ingyenes" "nincs" "nem vett részt" NA NA
"4" "69.9" "198" "3" " 15. kerület, Kolozsvár utca " "felújított" "1950-1980 között" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs" "3 m vagy magasabb" "egyéb" "nincs megadva" "nincs megadva" "dél" "utcai" "10 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"5" "85.3" "78" "3" " 6. kerület, Zichy Jeno utca " "újszeru" NA "luxus" "nincs megadva" "2" "5" "van" "nincs megadva" "hoszivattyú" "nincs megadva" "egy helyiségben" "délnyugat" "utcai" "24.5 m²" "nincs megadva" "nincs megadva" "nincs megadva" "van" NA NA NA
"6" "253.72" "150" "3" " 1. kerület, Fo utca " "felújított" "1950 elott" "duplakomfortos" "nincs megadva" "5" "5" "van" "3 m vagy magasabb" "padlófutés" "nincs megadva" "nincs megadva" "nincs megadva" "panorámás" "8 m²" "nem" "legfelso emelet, nem tetotéri" "utca, közterület - fizetos övezet" "van" NA NA NA
"7" "140" "149" "4" " 9. kerület, Belso-Ferencváros " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "van" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "északkelet" "udvari" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"8" "53.9" "85" "3" " 7. kerület, Garay utca " "jó állapotú" "1981-2000 között" "duplakomfortos" "nincs megadva" "nincs megadva" "3" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "dél" "utcai" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA "24 000 Ft/hó" NA
"9" "25.9" "51" "2" " 21. kerület, Csepel-Kertváros " "felújított" "1981-2000 között" "összkomfortos" "nincs megadva" "1" "4" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nem" "külön helyiségben" "nincs megadva" "kertre nézo" "4 m²" "nem" "nincs megadva" "utca, közterület - ingyenes" "van" NA "25 000 Ft/hó" NA
"10" "93" "136" "4" " 15. kerület, Nagysándor József utca " "újszeru" "2001-2010 között" "duplakomfortos" "nincs megadva" "földszint" "2" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nem" "külön és egyben is" "nyugat" "udvari" "40 m²" "igen" "nem tetotéri" "önálló garázs - benne van az árban" "nincs" NA NA NA
