"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "parkolohely_ara" "lakopark_neve" "rezsikoltseg" "panelprogram"
"1" "83.1" "69" "2" " 1. kerület, Hegyalja út " "nincs megadva" "2019" "luxus" "nincs megadva" "3" "4" "van" "3 m-nél alacsonyabb" "mennyezeti hutés-futés" "van" "nincs megadva" "külön helyiségben" "nyugat" "kertre nézo" "10 m²" "nincs megadva" "nem tetotéri" "teremgarázs hely - megvásárolható" "7.3 M Ft" NA NA NA
"2" "59.9" "63" "3" " 14. kerület, Bazsarózsa utca " "új építésu" "2020" "összkomfortos" "nincs megadva" "1" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "hoszivattyú, padlófutés" "van" "nem" "külön helyiségben" "délnyugat" "utcai" "11 m²" "nincs megadva" "nem tetotéri" "önálló garázs - megvásárolható" "3 M Ft" NA NA NA
"3" "37.75" "45" "2" " 8. kerület, Rigó III Lakópark " "új építésu" "2021" "összkomfortos" "nincs megadva" "földszint" "7" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA "igen" "egy helyiségben" "délnyugat" "udvari" "5.33 m²" "nem" "nincs megadva" "teremgarázs hely - megvásárolható" "4.8 M Ft" "Rigó III Lakópark" NA NA
"4" "22.8" "27" "1" " 14. kerület, Egressy út " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "földszint" "2" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs" "nincs megadva" "egy helyiségben" "nyugat" "utcai" NA "nem" "nincs megadva" "nincs megadva" NA NA NA NA
"5" "52.9" "51" "2" " 3. kerület, Harsánylejto " "újszeru" "2019" "luxus" "nincs megadva" "1" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "mennyezeti hutés-futés" "van" "nincs megadva" "külön helyiségben" "délkelet" "panorámás" "7 m²" "nincs megadva" "nincs megadva" "teremgarázs hely - kötelezo megvenni" "5 M Ft" NA NA NA
"6" "33.6" "34" "1" " 13. kerület, Angyalföld " "újszeru" "2019" "összkomfortos" "nincs megadva" "4" "7" "van" "nincs megadva" "házközponti egyedi méréssel" NA "igen" "nincs megadva" "északkelet" "utcai" "8 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"7" "35.9" "56" "1" " 6. kerület, Szív utca 47. " "felújítandó" NA "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" NA "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA "8 000 Ft/hó" NA
"8" "109" "133" "4" " 12. kerület, Farkasvölgy " "újszeru" "2001-2010 között" "duplakomfortos" "nincs megadva" "földszint" "3" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" NA "nem" "egy helyiségben" "dél" "panorámás" "55 m²" "igen" "nincs megadva" "teremgarázs hely - megvásárolható" "3.5 M Ft" NA NA NA
"9" "58" "80" "3" " 14. kerület, Herminamezo " "nincs megadva" "2020" "összkomfortos" "nincs megadva" "3" "5" "van" "3 m-nél alacsonyabb" "gáz (cirko)" "van" "igen" "egy helyiségben" "délnyugat" "kertre nézo" "4 m²" "igen" "nem tetotéri" "teremgarázs hely - kötelezo megvenni" "4 M Ft" NA NA NA
"10" "34.9" "50" "2" " 11. kerület, Etele út " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "5" "9" "van" "3 m-nél alacsonyabb" "távfutés" "nincs" "nem" "egy helyiségben" "kelet" "utcai" NA "nem" "nem tetotéri" "utca, közterület - ingyenes" NA NA "27 500 Ft/hó" "nem vett részt"
