"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "rezsikoltseg" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "erkely" "panelprogram" "parkolohely_ara"
"1" "13.99" "21" "1" " 4. kerület, Irányi Dániel utca 46. " "közepes állapotú" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "földszintes" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs" "11 700 Ft/hó" "nincs megadva" "egy helyiségben" "nyugat" "udvari" "igen" "nem tetotéri" "utca, közterület - ingyenes" NA NA NA
"2" "34.9" "40" "1" " 14. kerület, Alsórákos " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "2" "nincs megadva" "3 m-nél alacsonyabb" "gáz (konvektor)" NA NA "igen" "egy helyiségben" "délnyugat" "udvari" "igen" "nincs megadva" "nincs megadva" NA NA NA
"3" "166.4" "84" "3" " 1. kerület, Döbrentei utca " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" NA NA "nincs megadva" "nincs megadva" "nyugat" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"4" "44.9" "50" "2" " 9. kerület, Dandár utca " "jó állapotú" "2001-2010 között" "összkomfortos" "nincs megadva" "6" "8" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA NA "igen" "egy helyiségben" "északnyugat" "kertre nézo" "nincs megadva" "legfelso emelet, nem tetotéri" "nincs megadva" "10 m²" NA NA
"5" "95" "95" "3" " 2. kerület, Bajvívó utca " "felújított" NA "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"6" "36.2" "46" "2" " 4. kerület, Kiss János utca " "nincs megadva" "2019" "összkomfortos" "nincs megadva" "1" "4" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA NA "igen" "külön helyiségben" "nyugat" "kertre nézo" "nem" "nem tetotéri" "teremgarázs hely - benne van az árban" "7.83 m²" NA NA
"7" "31.5" "53" "2" " 10. kerület, Gyakorló utcai lakótelep " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "10" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "van" "22 000 Ft/hó" "nem" "egy helyiségben" "nincs megadva" "panorámás" "nem" "nem tetotéri" "utca, közterület" "3.8 m²" "nincs megadva" NA
"8" "222" "118" "3" " 11. kerület, Gellérthegy " "nincs megadva" "2020" "duplakomfortos" "nincs megadva" "nincs megadva" "4" "van" "nincs megadva" "nincs megadva" NA NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "teremgarázs hely - megvásárolható" NA NA "7.8 M Ft"
"9" "49.5" "78" "3" " 9. kerület, Középso-Ferencváros " "felújított" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"10" "33" "64" "3" " 8. kerület, Baross utca " "felújítandó" "1950-1980 között" "összkomfortos" "nincs megadva" "10" "10" "van" "nincs megadva" "távfutés egyedi méréssel" NA NA "nincs megadva" "külön helyiségben" "kelet" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA "részt vett" NA
