"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "panelprogram" "erkely" "parkolohely_ara" "lakopark_neve" "rezsikoltseg"
"1" "35" "47" "1" " 7. kerület, Rottenbiller utca " "közepes állapotú" "1950 elott" "összkomfortos" "nincs megadva" "1" "3" "nincs" "3 m vagy magasabb" "nincs megadva" "nincs" "nem" "külön helyiségben" "nincs megadva" "udvari" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA NA NA NA
"2" "25.9" "59" "2" " 19. kerület, Kazinczy utca " "nincs megadva" "1950-1980 között" "összkomfortos" "nincs megadva" "8" "több mint 10" "van" "3 m-nél alacsonyabb" "távfutés" NA "nincs megadva" "külön helyiségben" "délkelet" "nincs megadva" "nem" "nem tetotéri" "utca, közterület - ingyenes" "nem vett részt" NA NA NA NA
"3" "51.99" "63" "1" " 3. kerület, Lángliliom utca " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "4" "4" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "van" "igen" "külön helyiségben" "délkelet" "udvari" "nem" "legfelso emelet, nem tetotéri" "teremgarázs hely - bérelheto" NA "15 m²" "15 000 Ft/hó" NA NA
"4" "23" "35" "1" " 4. kerület, Závodszky Zoltán utca " "jó állapotú" NA "összkomfortos" "nincs megadva" "7" "10" "van" "nincs megadva" "távfutés" NA "nincs megadva" "nincs megadva" "kelet" "kertre nézo" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"5" "134.5" "92" "5" " 3. kerület, Fagyöngy Lakópark " "új építésu" "2020" "duplakomfortos" "nincs megadva" "2" "3" "van" "3 m-nél alacsonyabb" "hoszivattyú, mennyezeti hutés-futés" "van" "nincs megadva" "külön és egyben is" "délnyugat" "kertre nézo" "nem" "legfelso emelet, nem tetotéri" "teremgarázs hely - megvásárolható" NA "52.3 m²" "5.4 M Ft" "Fagyöngy Lakópark" NA
"6" "68.9" "108" "3" " 6. kerület, Bajza utca " "felújított" NA "nincs megadva" "nincs megadva" "5" "nincs megadva" "van" "nincs megadva" "gáz (konvektor)" NA "nincs megadva" "nincs megadva" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA
"7" "74.9" "85" "2" " 7. kerület, Rákóczi út " "közepes állapotú" NA "nincs megadva" "nincs megadva" "2" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "külön és egyben is" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA
"8" "35.6" "45" "2" " 11. kerület, Szentimreváros " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "4" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs" "nem" "külön helyiségben" "délkelet" "udvari" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA NA NA NA
"9" "35.9" "85" "2" " 17. kerület, Szabadság utca " "felújítandó" "1950-1980 között" "összkomfortos" "nincs megadva" "1" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (konvektor)" NA "nem" "nincs megadva" "délkelet" "utcai" "nem" "nem tetotéri" "udvari beálló - benne van az árban" NA "25 m²" NA NA NA
"10" "32.5" "51" "2" " 3. kerület, Szentendrei út " "felújított" "1981-2000 között" "összkomfortos" "nincs megadva" "7" "több mint 10" "van" "3 m-nél alacsonyabb" "távfutés" "van" "igen" "külön helyiségben" "dél" "panorámás" "nem" "nem tetotéri" "utca, közterület" "nem vett részt" NA NA NA NA
"11" "66.9" "85" "4" " 6. kerület, Szív utca " "felújított" "1950 elott" "duplakomfortos" "nincs megadva" "3" "3" "nincs" "nincs megadva" "gáz (cirko)" "nincs" "nem" "egy helyiségben" "délkelet" "utcai" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA NA NA NA
"12" "46.9" "60" "3" " 4. kerület, Vörösmarty utca " "új építésu" "2019" "összkomfortos" "nincs megadva" "földszint" "2" "nincs" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA "nincs megadva" "külön helyiségben" "nincs megadva" "kertre nézo" "igen" "nincs megadva" "teremgarázs hely" NA "18 m²" NA NA NA
"13" "27.2" "44" "1" " 15. kerület, Illyés Gyula utca " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "3" "4" "van" "3 m-nél alacsonyabb" "gáz (cirko)" NA "igen" "nincs megadva" "nincs megadva" "utcai" "nem" "nem tetotéri" "önálló garázs - bérelheto" NA NA NA NA NA
"14" "26.9" "46" "1" " 14. kerület, Füredi utca " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "6" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "van" "igen" "egy helyiségben" "nyugat" "panorámás" "nem" "nem tetotéri" "utca, közterület" "részt vett" NA NA NA "20 000 Ft/hó"
"15" "37.5" "39" "2" " 1. kerület, Batthyány tér " "felújítandó" NA "összkomfortos" "nincs megadva" "6" "nincs megadva" "van" "nincs megadva" "házközponti" NA "nincs megadva" "nincs megadva" "délkelet" "utcai" "nincs megadva" "legfelso emelet, nem tetotéri" "nincs megadva" NA NA NA NA "26 000 Ft/hó"
"16" "29.5" "35" "1" " 16. kerület, Zúgó köz " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "1" "2" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs" "nem" "egy helyiségben" "délkelet" "kertre nézo" "nem" "nincs megadva" "teremgarázs hely - kötelezo megvenni" NA "4.67 m²" "2 M Ft" NA NA
"17" "63.9" "74" "2" " 2. kerület, Mechwart liget " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "1" "4" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs" "nincs megadva" "külön helyiségben" "délnyugat" "kertre nézo" "nem" "nincs megadva" "utca, közterület" NA "4 m²" NA NA NA
"18" "89.5" "97" "3" " 6. kerület, Bajcsy-Zsilinszky út " "felújítandó" "1950-1980 között" "összkomfortos" "nincs megadva" "1" "4" "van" "3 m vagy magasabb" "gáz (konvektor)" NA "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "utca, közterület" NA NA NA NA NA
"19" "60" "78" "3" " 12. kerület, Ugocsa utca " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "délnyugat" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA NA
