"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "rezsikoltseg" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "legkondicionalo" "erkely" "panelprogram" "parkolohely_ara"
"1" "140.21" "66" "2" " 5. kerület, Vörösmarty tér 2. " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "4" "5" "van" "3 m vagy magasabb" "gáz (cirko)" "17 000 Ft/hó" "nem" "nincs megadva" "északnyugat" "panorámás" "nincs megadva" "legfelso emelet, nem tetotéri" "nincs megadva" NA NA NA NA
"2" "97" "82" "3" " 7. kerület, Wesselényi utca " "felújított" "1950 elott" "luxus" "nincs megadva" "4" "4" "van" "3 m vagy magasabb" "gáz (cirko)" "14 000 Ft/hó" "nem" "külön és egyben is" "délkelet" "panorámás" "nem" "nem tetotéri" "utca, közterület" "van" "8 m²" NA NA
"3" "104" "100" "4" " 11. kerület, Szentimreváros " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "1" "3" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" NA "nem" "külön és egyben is" "dél" "panorámás" "nem" "nincs megadva" "utca, közterület - ingyenes" "nincs" "6.7 m²" NA NA
"4" "70" "68" "3" " 13. kerület, Hegedus Gyula utca 91. " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "8" "nincs megadva" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA "igen" "külön helyiségben" "nyugat" "utcai" "nem" "nincs megadva" "teremgarázs hely - megvásárolható" "van" "9 m²" NA NA
"5" "56.9" "61" "3" " 13. kerület, Hegedus Gyula utca " "felújított" "1950-1980 között" "nincs megadva" "nincs megadva" "5" "nincs megadva" "van" "nincs megadva" "nincs megadva" NA "nincs megadva" "külön helyiségben" "nyugat" "nincs megadva" "nem" "nincs megadva" "nincs megadva" NA NA NA NA
"6" "29.99" "35" "1" " 3. kerület, Óbudai lakótelep " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" NA "nincs megadva" "nincs megadva" "délnyugat" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"7" "24" "46" "2" " 4. kerület, Pozsonyi utca 2. " "közepes állapotú" NA "összkomfortos" "nincs megadva" "4" "10" "van" "nincs megadva" "távfutés" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA NA "nincs megadva" NA
"8" "66.5" "79" "3" " 11. kerület, Lágymányos – Muegyetem környéke " "felújított" "1950 elott" "duplakomfortos" "nincs megadva" "félemelet" "5" "van" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "külön és egyben is" "nincs megadva" "kertre nézo" "nem" "nincs megadva" "nincs megadva" NA NA NA NA
"9" "43.9" "69" "2" " 14. kerület, Komócsy utca " "felújított" "1981-2000 között" "összkomfortos" "nincs megadva" "félemelet" "3" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" NA "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" "nem" "nem tetotéri" "udvari beálló - benne van az árban" NA "7 m²" NA NA
"10" "51.9" "51" "2" " 9. kerület, Bokréta utca " "újszeru" "1981-2000 között" "összkomfortos" "nincs megadva" "3" "4" "nincs" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "38 000 Ft/hó" "nincs megadva" "külön helyiségben" "délkelet" "utcai" "nincs megadva" NA "utca, közterület - fizetos övezet" "van" "8 m²" NA NA
"11" "52.9" "52" "2" " 7. kerület, Izabella utca " "újszeru" "1950-1980 között" "összkomfortos" "nincs megadva" "1" "4" "nincs" "nincs megadva" "elektromos" "20 000 Ft/hó" "nem" "külön helyiségben" "nincs megadva" "utcai" "nem" "nem tetotéri" "utca, közterület" NA NA NA NA
"12" "29.9" "41" "1" " 14. kerület, Telepes utca " "jó állapotú" "2001-2010 között" "összkomfortos" "nincs megadva" "4" "4" "van" "3 m-nél alacsonyabb" "gáz (cirko)" NA "nincs megadva" "egy helyiségben" "délnyugat" "panorámás" "nincs megadva" "tetotéri" "teremgarázs hely - megvásárolható" "van" NA NA "3.9 M Ft"
