"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "epites_eve" "legkondicionalo" "rezsikoltseg" "erkely" "panelprogram"
"1" "95.9" "115" "3" " 7. kerület, Rumbach Sebestyén utca " "jó állapotú" "duplakomfortos" "nincs megadva" "2" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "délkelet" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA
"2" "116.9" "109" "2" " 6. kerület, Nagymezo utca 35. " "jó állapotú" "összkomfortos" "nincs megadva" "3" "5" "van" "3 m vagy magasabb" "gáz (cirko)" "igen" "külön és egyben is" "délnyugat" "utcai" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "1950 elott" "nincs" "30 000 Ft/hó" NA NA
"3" "128" "116" "4" " 6. kerület, Ó utca 46. " "felújított" "luxus" "nincs megadva" "4" "4" "van" "3 m vagy magasabb" "gáz (cirko)" "nem" "külön és egyben is" "dél" "utcai" "nem" "legfelso emelet, nem tetotéri" "utca, közterület" NA "van" "40 000 Ft/hó" "6 m²" NA
"4" "28.49" "51" "2" " 15. kerület, Törökszegfu tér " "felújított" "összkomfortos" "nincs megadva" "földszint" "2" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nem" "egy helyiségben" "nincs megadva" "kertre nézo" "nem" "nincs megadva" "utca, közterület - ingyenes" "1950-1980 között" "nincs" NA NA NA
"5" "25.89" "46" "2" " 4. kerület, Irányi Dániel utca " "felújított" "összkomfortos" "nincs megadva" "nincs megadva" "földszintes" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "nincs megadva" "kertre nézo" "igen" "nincs megadva" "nincs megadva" "1950-1980 között" "van" NA NA NA
"6" "24.9" "53" "2" " 18. kerület, Havanna utca " "jó állapotú" "nincs megadva" "nincs megadva" "10" "10" "van" "3 m-nél alacsonyabb" "távfutés" "igen" "külön helyiségben" "délkelet" "panorámás" "nem" "nincs megadva" "utca, közterület - ingyenes" NA "nincs" NA NA "nem vett részt"
"7" "34.9" "64" "2" " 15. kerület, Nádastó park " "jó állapotú" "összkomfortos" "nincs megadva" "7" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nem" "nincs megadva" "délnyugat" "panorámás" "nem" "nem tetotéri" "utca, közterület" "1950-1980 között" NA NA "3 m²" "nincs megadva"
"8" "79.9" "94" "3" " 1. kerület, Víziváros " "felújítandó" "összkomfortos" "nincs megadva" "1" "4" "van" "3 m vagy magasabb" "házközponti" "nem" "külön helyiségben" "északkelet" "utcai" "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" "1950 elott" NA NA "1.5 m²" NA
"9" "31" "61" "3" " 15. kerület, Drégelyvár utca " "jó állapotú" "összkomfortos" "nincs megadva" "földszint" "10" "van" "3 m-nél alacsonyabb" "nincs megadva" "nincs megadva" "külön helyiségben" "kelet" "kertre nézo" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA "van" NA "3 m²" "részt vett"
"10" "74.9" "57" "1" " 13. kerület, Vizafogó – Marinapart " "újszeru" "nincs megadva" "nincs megadva" "8" "nincs megadva" "van" "nincs megadva" "házközponti egyedi méréssel" "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "2001-2010 között" NA NA "19 m²" NA
"11" "96.9" "88" "2" " 5. kerület, Kecskeméti utca " "jó állapotú" "duplakomfortos" "nincs megadva" "4" "5" "van" "nincs megadva" "házközponti" "nincs megadva" "külön és egyben is" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA NA "55 000 Ft/hó" "5 m²" NA
"12" "27.9" "46" "1" " 14. kerület, Alsórákos – Füredi utcai lakótelep " "jó állapotú" "nincs megadva" "nincs megadva" "7" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "egy helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "utca, közterület" "1981-2000 között" NA NA NA NA
"13" "28.4" "36" "1" " 13. kerület, Újlipótvárosi lakótelep " "jó állapotú" "összkomfortos" "nincs megadva" "5" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "egy helyiségben" "délnyugat" "utcai" "nem" "nincs megadva" "utca, közterület - fizetos övezet" "1981-2000 között" "nincs" NA NA "nem vett részt"
