"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "rezsikoltseg" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "panelprogram" "parkolohely_ara"
"1" "29" "39" "1" " 9. kerület, Márton utca 35. " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "4" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs" "20 000 Ft/hó" "igen" "egy helyiségben" "nincs megadva" "udvari" "6 m²" "igen" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA
"2" "36" "92" "2" " 15. kerület, Pestújhely " "felújított" "2017" "duplakomfortos" "nincs megadva" "nincs megadva" "2" "nincs megadva" "3 m-nél alacsonyabb" "elektromos" "van" NA "nincs megadva" "külön és egyben is" "nincs megadva" "utcai" NA "igen" "nincs megadva" "udvari beálló - benne van az árban" NA NA
"3" "54.9" "55" "2" " 11. kerület, Szentimreváros " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs" "3 m vagy magasabb" "elektromos" NA NA "nincs megadva" "nincs megadva" "észak" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA
"4" "44.9" "45" "2" " 11. kerület, Szentimreváros " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs" "3 m vagy magasabb" "elektromos" NA NA "nincs megadva" "nincs megadva" "észak" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA
"5" "53.9" "116" "3" " 16. kerület, Cinkota " "közepes állapotú" "1950 elott" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (cirko)" NA NA "nincs megadva" "nincs megadva" "dél" "nincs megadva" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA
"6" "49.9" "82" "3" " 14. kerület, Alsórákos " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (cirko)" NA NA "nincs megadva" "nincs megadva" "északnyugat" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA
"7" "225" "163" "4" " 13. kerület, Révész utca " "felújított" "2001-2010 között" "nincs megadva" "nincs megadva" "7" "nincs megadva" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA NA "nincs megadva" "nincs megadva" "dél" "nincs megadva" "60 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA
"8" "135" "120" "5" " 7. kerület, Wesselényi utca " "felújított" "2019" "összkomfortos" "nincs megadva" "3" "4" "van" "3 m vagy magasabb" "gázkazán" "van" NA "igen" "nincs megadva" "nincs megadva" "utcai" NA "nincs megadva" "tetotéri" "nincs megadva" NA NA
"9" "35.5" "51" "2" " 13. kerület, Kassák Lajos utca " "felújított" "1981-2000 között" "összkomfortos" "nincs megadva" "9" "10" "van" "3 m-nél alacsonyabb" "távfutés" NA NA "igen" "külön helyiségben" "nincs megadva" "utcai" "5 m²" "nincs megadva" "nem tetotéri" "utca, közterület" "nincs megadva" NA
"10" "66.49" "74" "3" " 11. kerület, Szentimreváros " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "4" "6" "van" "3 m-nél alacsonyabb" "távfutés" "van" "25 000 Ft/hó" "igen" "külön helyiségben" "nincs megadva" "panorámás" "4 m²" "nincs megadva" "nem tetotéri" "utca, közterület - ingyenes" NA NA
