"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "erkely" "panelprogram"
"1" "333.51" "270" "7" " 1. kerület, Döbrentei utca " "felújított" "1950 elott" "duplakomfortos" "nincs megadva" "földszint" "4" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" "van" "nincs megadva" "külön helyiségben" "kelet" "nincs megadva" "nincs megadva" "nincs megadva" "utca, közterület" NA NA
"2" "32.5" "49" "2" " 3. kerület, Óbudai lakótelep " "felújított" NA "összkomfortos" "nincs megadva" "2" "10" "van" "nincs megadva" "távfutés egyedi méréssel" NA "igen" "külön helyiségben" "nincs megadva" "panorámás" "nem" "nincs megadva" "utca, közterület - ingyenes" "4 m²" "nem vett részt"
"3" "12.7" "22" "1" " 21. kerület, Színesfém utca " "felújított" NA "összkomfortos" "nincs megadva" "földszint" "nincs megadva" "nincs megadva" "nincs megadva" "távfutés" NA "nincs megadva" "egy helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA
"4" "49.8" "74" "2" " 3. kerület, Tímár utca " "jó állapotú" NA "duplakomfortos" "nincs megadva" "3" "4" "nincs" "3 m vagy magasabb" "gáz (cirko)" "van" "nincs megadva" "külön és egyben is" "nincs megadva" "utcai" "nincs megadva" "nem tetotéri" "utca, közterület" NA NA
"5" "23.99" "39" "1" " 10. kerület, Zágrábi utca " "felújítandó" "1950 elott" "összkomfortos" "nincs megadva" "3" "4" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" NA "nem" "külön helyiségben" "dél" "kertre nézo" "nincs megadva" "nem tetotéri" "utca, közterület - ingyenes" NA NA
"6" "48.9" "57" "2" " 2. kerület, Víziváros " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "3" "5" "van" "3 m-nél alacsonyabb" "házközponti" "nincs" "igen" "külön helyiségben" "kelet" "utcai" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA
"7" "45.9" "48" "2" " 9. kerület, Középso-Ferencváros – Rehabilitációs terület " "felújított" "2001-2010 között" "összkomfortos" "nincs megadva" "földszint" "5" "nincs" "3 m-nél alacsonyabb" "házközponti" "nincs" "igen" "egy helyiségben" "nyugat" "udvari" "igen" "nem tetotéri" "utca, közterület - ingyenes" "16 m²" NA
"8" "98" "128" "3" " 2. kerület, Pasarét " "felújítandó" "1950-1980 között" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "délkelet" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" "19 m²" NA
"9" "27.99" "36" "1" " 14. kerület, Kaffka Margit utca " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "2" "3" "nincs" "nincs megadva" "gáz (konvektor)" NA "nincs megadva" "külön helyiségben" "délnyugat" "kertre nézo" "nincs megadva" "nincs megadva" "nincs megadva" NA NA
"10" "79.9" "75" "2" " 12. kerület, Sashegy " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "1" "3" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "délkelet" "panorámás" "nincs megadva" "nincs megadva" "önálló garázs" "11 m²" NA
