"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "panelprogram" "parkolas" "legkondicionalo" "rezsikoltseg" "erkely" "parkolohely_ara"
"1" "24.9" "51" "2" " 3. kerület, Jendrassik György utca " "közepes állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "10" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "nincs megadva" "kelet" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" "nincs megadva" NA NA NA NA
"2" "95" "119" "3" " 11. kerület, Móricz Zsigmond körtér " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "2" "5" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön és egyben is" "délkelet" "utcai" "nem" "nem tetotéri" NA "utca, közterület - fizetos övezet" NA NA NA NA
"3" "22.9" "42" "1" " 8. kerület, Dobozi utca 20. " "közepes állapotú" "1950 elott" "összkomfortos" "nincs megadva" "3" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nem" "egy helyiségben" "délnyugat" "utcai" "nem" "legfelso emelet, nem tetotéri" NA "utca, közterület" "nincs" "16 000 Ft/hó" NA NA
"4" "29.99" "30" "1" " 11. kerület, Köbölkút utca " "jó állapotú" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs megadva" "külön helyiségben" "nincs megadva" "kertre nézo" "nincs megadva" "nincs megadva" NA "nincs megadva" NA NA NA NA
"5" "26.9" "29" "1" " 11. kerület, Rétköz utca " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "5 300 Ft/hó" "1 m²" NA
"6" "35.9" "66" "2" " 20. kerület, Baross utca " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "2" "3" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nem" "külön helyiségben" "kelet" "utcai" "nincs megadva" "nincs megadva" NA "teremgarázs hely - megvásárolható" "van" NA "6 m²" "2.2 M Ft"
"7" "34" "66" "3" " 3. kerület, Polgár utca 1. " "felújítandó" NA "nincs megadva" "nincs megadva" "1" "nincs megadva" "van" "nincs megadva" "távfutés egyedi méréssel" "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "részt vett" "nincs megadva" "van" NA "3 m²" NA
"8" "25.99" "56" "2" " 21. kerület, Csepel-Ófalu " "felújított" "1950-1980 között" "nincs megadva" "nincs megadva" "1" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "nincs megadva" "nyugat" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" "nincs megadva" NA NA NA NA
"9" "106.9" "124" "3" " 6. kerület, Jókai utca " "felújítandó" "1950 elott" "összkomfortos" "nincs megadva" "2" "5" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön és egyben is" "kelet" "utcai" "nem" "nem tetotéri" NA "utca, közterület - fizetos övezet" "nincs" NA NA NA
"10" "39.9" "90" "3" " 8. kerület, Tisztviselotelep " "felújítandó" "1950 elott" "nincs megadva" "nincs megadva" "3" "nincs megadva" "van" "3 m vagy magasabb" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "utcai" "nincs megadva" "nem tetotéri" NA "nincs megadva" NA NA "2 m²" NA
