"ar_millio" "alapterulet_m" "szobak_n" "cim" "lakopark_neve" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "parkolohely_ara" "rezsikoltseg" "panelprogram"
"1" "42.83" "44" "1" " 11. kerület, Semiramis Garden " "Semiramis Garden" "új építésu" "2020" "összkomfortos" "nincs megadva" "7" "9" "van" "3 m-nél alacsonyabb" "házközponti" "van" "igen" "nincs megadva" "nincs megadva" "nincs megadva" "10.85 m²" "nincs megadva" "nincs megadva" "teremgarázs hely - megvásárolható" "3.5 M Ft" NA NA
"2" "39.9" "57" "2" " 6. kerület, Hunyadi tér " NA "felújított" "1950 elott" "összkomfortos" "nincs megadva" "3" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" "van" "nem" "egy helyiségben" "délnyugat" "udvari" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA NA
"3" "42.9" "74" "2" " 13. kerület, Futár utca " NA "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "1" "4" "nincs" "3 m-nél alacsonyabb" "távfutés" "van" "nem" "külön helyiségben" "délnyugat" "utcai" "1 m²" "nem" "nem tetotéri" "utca, közterület" NA "50 000 Ft/hó" "nem vett részt"
"4" "66" "58" "2" " 13. kerület, Újlipótváros – Cézárház " NA "újszeru" "2001-2010 között" "nincs megadva" "nincs megadva" "1" "9" "van" "nincs megadva" "nincs megadva" "van" "nincs megadva" "egy helyiségben" "nincs megadva" "utcai" "12 m²" "nincs megadva" "nincs megadva" "teremgarázs hely - megvásárolható" "7 M Ft" NA NA
"5" "39.7" "47" "1" " 9. kerület, BB Házak " "BB Házak" "új építésu" "2020" "összkomfortos" "nincs megadva" "2" "nincs megadva" "van" "3 m-nél alacsonyabb" "házközponti" "nincs" "igen" "egy helyiségben" "észak" "utcai" "4.03 m²" "nincs megadva" "nincs megadva" "teremgarázs hely - megvásárolható" "5 M Ft" NA NA
"6" "38.96" "46" "2" " 8. kerület, Rigó III Lakópark " "Rigó III Lakópark" "új építésu" "2021" "összkomfortos" "nincs megadva" "1" "7" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA "nincs megadva" "egy helyiségben" "délnyugat" "kertre nézo" "5.08 m²" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" "4.8 M Ft" NA NA
"7" "36.84" "44" "2" " 8. kerület, Rigó III Lakópark " "Rigó III Lakópark" "új építésu" "2021" "összkomfortos" "nincs megadva" "földszint" "7" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA "nincs megadva" "egy helyiségben" "északkelet" "utcai" "5.33 m²" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" "4.8 M Ft" NA NA
"8" "21.49" "30" "1" " 10. kerület, Szárnyas utca " NA "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "2" "4" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" NA "nincs megadva" "külön helyiségben" "nyugat" "utcai" NA "nem" "nem tetotéri" "utca, közterület" NA "20 000 Ft/hó" NA
"9" "79.5" "74" "1" " 6. kerület, Révay utca " NA "újszeru" "1950 elott" "luxus" "nincs megadva" "1" "5" "van" "3 m vagy magasabb" "gáz (cirko)" "van" "nincs megadva" "külön helyiségben" "dél" "utcai" NA "nincs megadva" "nem tetotéri" "utca, közterület" NA NA NA
"10" "42.9" "42" "2" " 11. kerület, Baranyai utca " NA "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "4" "7" "van" "nincs megadva" "távfutés" NA "nincs megadva" "egy helyiségben" "kelet" "utcai" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
