"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "rezsikoltseg" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "epites_eve" "erkely" "parkolohely_ara" "legkondicionalo" "panelprogram"
"1" "39.99" "50" "2" " 7. kerület, Verseny utca " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "20 000 Ft/hó" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA
"2" "42.3" "75" "2" " 4. kerület, Nádor utca " "felújított" "nincs megadva" "nincs megadva" "földszint" "földszintes" "nincs megadva" "nincs megadva" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "igen" "nem tetotéri" "nincs megadva" "1950-1980 között" NA NA NA NA
"3" "24.9" "53" "2" " 10. kerület, Korösi Csoma Sándor út 35-37 " "jó állapotú" "összkomfortos" "nincs megadva" "1" "9" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "25 000 Ft/hó" "nincs megadva" "külön helyiségben" "nincs megadva" "kertre nézo" "nem" "nem tetotéri" "önálló garázs - megvásárolható" "1950-1980 között" "7 m²" "1 M Ft" NA NA
"4" "122.9" "97" "3" " 12. kerület, Csörsz utca " "felújított" "duplakomfortos" "nincs megadva" "4" "6" "van" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "külön és egyben is" "dél" "utcai" "nincs megadva" "nem tetotéri" "utca, közterület" "1950-1980 között" "4 m²" NA NA NA
"5" "41.99" "58" "2" " 13. kerület, Párkány utca 12. " "jó állapotú" "összkomfortos" "nincs megadva" "4" "10" "van" "3 m-nél alacsonyabb" "távfutés" NA "nem" "külön helyiségben" "nyugat" "utcai" "nem" "nem tetotéri" "utca, közterület" NA "3 m²" NA "van" "nincs megadva"
"6" "50.5" "60" "2" " 7. kerület, Peterdy utca " "jó állapotú" "nincs megadva" "nincs megadva" "2" "3" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" NA "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nem tetotéri" "utca, közterület" "1950 elott" NA NA NA NA
"7" "26" "50" "2" " 10. kerület, Szolohegy utca " "nincs megadva" "nincs megadva" "nincs megadva" "1" "5" "nincs" "nincs megadva" "távfutés egyedi méréssel" NA "nem" "egy helyiségben" "dél" "nincs megadva" "nincs megadva" "nem tetotéri" "utca, közterület - ingyenes" NA "2 m²" NA "nincs" NA
"8" "57.7" "47" "3" " 13. kerület, Dagály utca 5-7 " "újszeru" "összkomfortos" "A+" "2" "9" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "8 100 Ft/hó" "igen" "külön helyiségben" "északkelet" "udvari" "igen" "nem tetotéri" "utca, közterület - fizetos övezet" "2019" "16 m²" NA "nincs" NA
"9" "153" "69" "3" " 2. kerület, Bem rakpart " "jó állapotú" "összkomfortos" "nincs megadva" "1" "4" "van" "3 m vagy magasabb" "gáz (cirko)" "46 000 Ft/hó" "nem" "egy helyiségben" "kelet" "panorámás" "nem" "nem tetotéri" "utca, közterület" "1950 elott" "3 m²" NA "nincs" NA
"10" "65" "71" "2" " 13. kerület, Gyöngyház utca " "felújított" "összkomfortos" "nincs megadva" "2" "5" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" NA "nincs megadva" "külön helyiségben" "délkelet" "nincs megadva" "nem" "nem tetotéri" "utca, közterület" "1950-1980 között" "5 m²" NA NA NA
